====================================================================================================================================
                                                               S L S                                                                
                                                            version: 3.3                                                            
                                                S I M U L A T I O N   R E S U L T S                                                 
====================================================================================================================================
 time         | c   r   l   l   l   l   l   l   l   l   l   l   l   l   l   n   n   n   n   c   c   c   d   d   d   c   c   d   d   
       8486.1 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       8486.4 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       8560.0 | 0   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       8640.0 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       8643.0 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       8643.2 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       8644.9 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       8645.2 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       8720.0 | 0   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       8800.0 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       8803.4 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       8804.8 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       8880.0 | 0   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       8960.0 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       8963.3 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       8963.9 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       8966.1 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       9040.0 | 0   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       9120.0 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       9120.9 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       9123.3 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       9123.5 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       9127.9 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       9200.0 | 0   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       9280.0 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       9282.8 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
       9360.0 | 0   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
       9440.0 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
       9442.4 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       9443.8 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
       9520.0 | 0   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
       9600.0 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
       9680.0 | 0   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
       9760.0 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
       9840.0 | 0   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
       9920.0 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   1   1   0   0   0   0  
      10000.0 | 0   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   1   1   0   0   0   0  
      10080.0 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      10082.9 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      10085.4 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      10088.4 | 1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      10089.5 | 1   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      10160.0 | 0   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      10240.0 | 1   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      10320.0 | 0   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      10400.0 | 1   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      10480.0 | 0   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      10560.0 | 1   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      10640.0 | 0   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      10720.0 | 1   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0  
      10800.0 | 0   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0  
      10880.0 | 1   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      10882.1 | 1   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      10960.0 | 0   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      11040.0 | 1   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      11043.1 | 1   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   1   0   0   0   0   0   0  
      11043.5 | 1   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
      11120.0 | 0   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
      11200.0 | 1   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
      11280.0 | 0   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
      11360.0 | 1   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
      11440.0 | 0   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
      11520.0 | 1   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
      11600.0 | 0   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
      11680.0 | 1   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   1   1   1   0   0   0   0  
      11760.0 | 0   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   1   1   1   0   0   0   0  
      11840.0 | 1   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
      11843.0 | 1   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      11843.6 | 1   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      11920.0 | 0   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      12000.0 | 1   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      12002.2 | 1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      12002.6 | 1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   1   0   0   0  
      12002.8 | 1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      12003.1 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      12003.2 | 1   0   0   0   0   0   0   1   1   0   0   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      12003.4 | 1   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      12004.9 | 1   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      12080.0 | 0   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      12160.0 | 1   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      12162.9 | 1   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      12163.4 | 1   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      12164.7 | 1   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      12165.0 | 1   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      12240.0 | 0   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      12320.0 | 1   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      12323.0 | 1   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      12323.2 | 1   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      12324.9 | 1   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      12325.2 | 1   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      12400.0 | 0   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      12480.0 | 1   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      12483.4 | 1   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      12484.8 | 1   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      12560.0 | 0   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      12640.0 | 1   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      12643.3 | 1   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      12643.9 | 1   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      12646.1 | 1   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      12646.4 | 1   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      12720.0 | 0   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      12800.0 | 1   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      12801.2 | 1   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      12803.2 | 1   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      12804.9 | 1   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      12805.2 | 1   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      12880.0 | 0   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      12960.0 | 1   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      12963.4 | 1   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      12964.8 | 1   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      13040.0 | 0   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      13120.0 | 1   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      13123.3 | 1   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      13123.9 | 1   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      13126.1 | 1   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      13126.4 | 1   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      13200.0 | 0   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      13280.0 | 1   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      13283.0 | 1   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      13283.2 | 1   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      13284.9 | 1   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      13285.2 | 1   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      13360.0 | 0   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      13440.0 | 1   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      13443.4 | 1   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      13444.8 | 1   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      13520.0 | 0   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      13600.0 | 1   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
